Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7291495063725639,0.9999026656150818,1583.345988412921,1380.4684208216293,0.9999790191650391,1692.9727659761234,1275.9400237008426,0.9997019171714783,1454.3794987710673,1312.0463702598315,0.9989470839500427,1896.6477571980336,1390.7430653089887,0.9951285123825073,1359.901158707865,1467.2917398174156,0.8140578866004944,2300.25702247191,2004.2314343398875,0.9859411716461182,1010.4578651685392,2073.3195663623596,0.9881594777107239,2644.6441801264045,2701.088746488764,0.9974801540374756,610.8218925561798,2823.3113149578653,0.8464417457580566,2688.495567064607,3008.31482619382,0.7995840311050415,628.8895057935392,1893.6331855688202,0.5229368805885315,2146.2819083567415,3401.7483760533705,0.7894481420516968,979.7760270365168,3567.6739378511234,0.2628057599067688,2846.9141941713483,3269.902958216292,0.14965960383415222,667.7537306882023,3925.3993153089887,0.08663621544837952,588.5398086376404,1881.974609375,0.1587313413619995,580.656282917837,1861.9835630266853
1,0.7771827788913951,0.9996027946472168,1642.735691713483,1399.2909058988764,0.9998297095298767,1752.6336025280898,1300.3108321629213,0.9998003840446472,1499.8672094452247,1332.1945663623594,0.9987889528274536,1891.6475377457864,1400.0576062148875,0.9939862489700317,1334.9032873946628,1472.0199043188202,0.823312520980835,2358.535770716292,2037.4179906952247,0.9605070352554321,1026.3702378862358,2090.2928151334268,0.9947443008422852,2646.5124648876404,2687.56403616573,0.9956992864608765,674.4186929424156,2861.1750351123596,0.9317595958709717,2680.494601474719,3041.632110252809,0.9456044435501099,695.3011762640449,1921.7285814606741,0.5957431793212891,2213.2956021769664,3488.0394136235955,0.8688217401504517,925.6845593398875,3497.6742450842694,0.8073100447654724,2855.4752457865166,3218.17657127809,0.09377607703208923,41.46875548630612,3619.580363412921,0.113761305809021,3010.8083304073034,4112.30859375,0.08905962109565735,27.63178107443821,4064.8103493679773
2,0.8042372570318335,0.999849796295166,1526.7494952598313,1414.9455100070224,0.9997931122779846,1641.0434515449438,1301.2657127808989,0.9999022483825684,1404.6035814606741,1348.457645716292,0.9986578226089478,1804.778287394663,1412.8709181882023,0.9947506189346313,1264.0398086376404,1476.6557452598315,0.6658343076705933,2239.722568469101,2015.334840238764,0.9805463552474976,952.3952554424156,2087.558286516854,0.986054539680481,2543.408093398876,2680.422094452247,0.9969371557235718,589.600070224719,2815.198516502809,0.963218629360199,2577.494996488764,3039.9543100421347,0.9845944046974182,582.1965194873594,1868.7167310393259,0.5445659756660461,1817.5671743328653,3589.3802668539324,0.8300522565841675,851.3024929775281,3461.308286516854,0.8770259618759155,2718.1779757724717,3118.942415730337,0.23354902863502502,637.4520935744381,3933.5612710674154,0.23609104752540588,2949.083962429775,3960.7501755617977,0.3806101083755493,3.650275412570238,4006.0480161516853
3,0.8146480006330153,0.999677300453186,1565.3763825491574,1449.237644838483,0.9998943209648132,1643.0200359901683,1341.352111130618,0.9999213218688965,1435.8965063202247,1372.3049288974719,0.9988473653793335,1808.0518565660113,1439.5656381671347,0.9964687824249268,1262.9084225772472,1470.1067635182583,0.8031091690063477,2191.411385182584,2067.2451062148875,0.9855375289916992,1017.739137113764,2054.8364202949438,0.9468085765838623,2548.192327949438,2724.7109813904494,0.9972827434539795,565.1815638167134,2851.9985955056177,0.9796661138534546,2435.6294768258426,3005.2553985252807,0.9822959899902344,618.173981741573,1971.7023569171347,0.5885437726974487,2451.754915730337,3861.6512025983143,0.8323593139648438,834.9295777738764,3552.3390098314608,0.954917311668396,2640.4015976123596,3111.0880003511234,0.19840258359909058,2910.8598577949438,3644.1196892556177,0.3092317581176758,-54.78669790203651,3905.678019662921,0.2760520577430725,-59.88722897647472,3963.126931179775
4,0.8366552047869739,0.9998563528060913,1580.578739466292,1435.65625,0.9999787211418152,1692.4222041783705,1335.7369645365168,0.9996850490570068,1447.8692284058989,1365.4909585674156,0.9995051622390747,1881.2026860955057,1442.73828125,0.9983901977539062,1344.269136235955,1493.1111525632023,0.7322672605514526,2298.178590238764,2051.5665379213483,0.984308123588562,1026.4461244733145,2064.581087605337,0.9726714491844177,2594.107707162921,2692.666871488764,0.9936236143112183,582.4749495259832,2835.9773086376404,0.992222249507904,2493.858146067416,3040.88983497191,0.9888235330581665,744.6145540730336,1989.1822331460673,0.5298187732696533,2506.7739202949438,3886.62188377809,0.8669489622116089,881.5578915028088,3541.5741748595506,0.9672313928604126,2674.6820575842694,3121.8214975421347,0.6772987842559814,21.020546216643197,3582.910244030899,0.2084028422832489,2937.9108146067415,4017.9078300561796,0.31210601329803467,727.7665028089887,1863.5330933988764
5,0.8360805020612829,0.9996746182441711,1453.3700842696628,1445.0025895365168,0.9999234676361084,1578.600004389045,1336.202576369382,0.9999475479125977,1367.59765625,1357.0266853932583,0.9993026852607727,1741.806399227528,1450.968903616573,0.997230052947998,1201.8221778441011,1474.840458216292,0.8462820053100586,2100.7530284410113,2066.787021594101,0.9770450592041016,911.955538974719,2074.3252940660113,0.9141825437545776,2472.5220330056177,2723.601869733146,0.9979264736175537,437.2592828300561,2844.852659761236,0.9890165328979492,2298.56170997191,3011.615431882022,0.9956631064414978,673.4719540028088,1985.4682452598313,0.6162888407707214,2362.094452247191,3877.7486832865166,0.9070030450820923,734.0556421172753,3554.5387991573034,0.618461012840271,2843.5112798455057,3628.6769224016853,0.41315919160842896,2852.0271681882023,3665.3393609550562,0.48220717906951904,2509.9083128511234,2979.3408971207864,0.4600551724433899,2566.7759392556177,2961.9776158707864
6,0.8008298102547141,0.9997814893722534,1468.0369338132023,1456.3222875702247,0.999923050403595,1582.1208962429773,1351.410309866573,0.9997459650039673,1331.6718091643259,1374.364619908708,0.9992063045501709,1742.848994908708,1449.4437982794943,0.9974339008331299,1205.6145101825841,1502.7727133075841,0.8706110119819641,2024.421875,2052.1866880266853,0.9825550317764282,842.5170075491574,2079.7530284410113,0.9119974374771118,2433.971954002809,2704.552185744382,0.9901927709579468,406.39610033356735,2821.41875877809,0.9946770071983337,2266.4165203651683,2984.6551088483147,0.9951837062835693,529.750515712781,1913.7823033707864,0.37740084528923035,1953.0193556882023,3519.838658707865,0.8753855228424072,637.7845198384832,3479.415686446629,0.4557722806930542,2801.969671699438,3720.440396769663,0.4468802213668823,2851.2679950842694,3675.62030372191,0.5331530570983887,2450.7287570224717,2983.4123507724717,0.18420717120170593,2507.4664238061796,3084.5501228932585
7,0.782287688816295,0.9998170137405396,1454.0438465589887,1442.9872937148875,0.999946653842926,1560.2230073735955,1340.6310349367977,0.9997689723968506,1330.8356741573034,1375.3625131671347,0.999476432800293,1731.0861130617977,1446.0141546699438,0.9974329471588135,1206.9331548455057,1519.3181399227528,0.8416168093681335,2027.799749824438,2050.9847919592694,0.9876194000244141,848.13983497191,2087.080385358146,0.9671462178230286,2428.429468047753,2700.3182057584268,0.996548593044281,428.74185832162914,2779.0706636235955,0.9915556907653809,2258.1433462078653,2998.268302317416,0.9945126175880432,407.29268346207857,1906.429292485955,0.3662516474723816,2311.2691801264045,3931.8515186095506,0.8715598583221436,650.5704112535111,3482.9046260533705,0.437627375125885,2849.2156776685392,3622.8136850421347,0.30904367566108704,2865.8271594101125,3598.6163096910113,0.3609258532524109,2527.283883426966,3021.808505969101,0.17804095149040222,-5.260369118679762,3539.1765273876404
8,0.7892782688140869,0.999573826789856,1448.001799508427,1458.1455626755617,0.9998821020126343,1559.7266722261234,1354.4519180126404,0.9998047947883606,1350.1196234199438,1387.7629037921347,0.9986745119094849,1711.154055477528,1462.686468574438,0.9979230165481567,1160.0009875351122,1502.9596646769662,0.7472289800643921,2034.1875877808989,2065.4904977176966,0.9716074466705322,879.4877545646068,2059.731105161517,0.8552459478378296,2564.0222085674154,2900.7601825842694,0.998727560043335,446.6772844978932,2842.84919241573,0.9938259124755859,2351.891853932584,2885.5659673455057,0.9974165558815002,636.6863149578651,1971.1054029143259,0.7547388076782227,1919.7383251404494,3389.896550210674,0.632831871509552,671.6154977176966,3462.2047928370785,0.6105377078056335,2497.8865870786517,3048.687412219101,0.5228549242019653,2819.632505266854,3602.944303019663,0.19670850038528442,2764.5197945926966,4124.688553370786,0.1401481032371521,2806.982180477528,4140.228713132023
9,0.7795278692946714,0.9997855424880981,1451.6838351474719,1450.0564211727528,0.9999620914459229,1560.616265800562,1347.937653616573,0.9998288750648499,1322.1852176966293,1382.432408707865,0.9991739988327026,1742.211639747191,1455.6434559339887,0.9969592690467834,1214.3761850421347,1524.9598621839887,0.7122195363044739,2092.295514396067,2068.5666695926966,0.9470298290252686,908.2933198735955,2077.970615344101,0.7711923718452454,2576.9462780898875,2745.369338132022,0.9971358776092529,437.1767907303371,2829.636938202247,0.9902436137199402,2336.2751931179773,2875.6490958567415,0.9962158203125,483.4887311271067,1928.541015625,0.4509870707988739,1993.336946980337,3389.1727089185392,0.7633014917373657,680.4988369030898,3505.1056004213483,0.6883593797683716,2486.368109199438,3065.0948911516853,0.5744538307189941,2804.18359375,3612.001843398876,0.24064558744430542,2533.9016853932585,3038.824920997191,0.12447959184646606,-12.027601606390476,3557.321409761236
